                   0              1              2              3              4              5              6              7
   80 -1.362049e+171  2.959701e+172  4.963112e+173 -2.883732e+176  2.165939e+175 -5.226030e+178  1.168381e+180 -1.035151e+179
   81  2.469246e+173 -5.365413e+174 -8.999414e+175  5.228984e+178 -3.927447e+177  9.476202e+180 -2.118590e+182  1.877008e+181
   82 -4.476629e+175  9.726947e+176  1.631830e+178 -9.481558e+180  7.121544e+179 -1.718291e+183  3.841575e+184 -3.403522e+183
   83  8.116161e+177 -1.763457e+179 -2.958937e+180  1.719262e+183 -1.291331e+182  3.115725e+185 -6.965812e+186  6.171503e+185
   84 -1.471502e+180  3.197170e+181  5.365335e+182 -3.117486e+185  2.341537e+184 -5.649649e+187  1.263090e+189 -1.119060e+188
   85  2.667962e+182 -5.796648e+183 -9.728775e+184  5.652843e+187 -4.245847e+186  1.024434e+190 -2.290322e+191  2.029157e+190
   86 -4.837332e+184  1.050985e+186  1.764086e+187 -1.025013e+190  7.698877e+188 -1.857574e+192  4.152971e+193 -3.679409e+192
   87  8.770779e+186 -1.905565e+188 -3.198758e+189  1.858625e+192 -1.396016e+191  3.368283e+194 -7.530456e+195  6.671761e+194
   88 -1.590287e+189  3.455068e+190  5.800202e+191 -3.370187e+194  2.531356e+193 -6.107606e+196  1.365475e+198 -1.209770e+197
   89  2.883481e+191 -6.264617e+192 -1.051732e+194  6.111058e+196 -4.590035e+195  1.107474e+199 -2.475974e+200  2.193639e+199
   90 -5.228321e+193  1.135891e+195  1.907071e+196 -1.108100e+199  8.322977e+197 -2.008148e+201  4.489608e+202 -3.977660e+201
   91  9.480041e+195 -2.059596e+197 -3.458032e+198  2.009283e+201 -1.509181e+200  3.641314e+203 -8.140870e+204  7.212569e+203
   92 -1.718940e+198  3.734481e+199  6.270339e+200 -3.643372e+203  2.736554e+202 -6.602684e+205  1.476159e+207 -1.307833e+206
   93  3.116830e+200 -6.771438e+201 -1.136981e+203  6.606416e+205 -4.962111e+204  1.197245e+208 -2.676674e+209  2.371454e+208
   94 -5.651545e+202  1.227817e+204  2.061652e+205 -1.197921e+208  8.997649e+206 -2.170927e+210  4.853532e+211 -4.300086e+210
   95  1.024761e+205 -2.226321e+206 -3.738330e+207  2.172154e+210 -1.631517e+209  3.936476e+212 -8.800763e+213  7.797215e+212
